,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,행정동명,경도,위도
41595,청담산부인과외과의원,의료,병원,내과/외과,청담동,127.0482939,37.51875265
41611,서울코웰치과,의료,병원,치과의원,논현1동,127.0305214,37.51356221
41628,스노우성형외과의원,의료,병원,내과/외과,역삼1동,127.0293648,37.49805458
41656,에스피메이린의원,의료,병원,일반병원,삼성2동,127.0510478,37.51657624
41669,강남베스트성모안과,의료,병원,안과의원,역삼1동,127.0363239,37.50127426
41746,쁘띠퀸의원,의료,병원,일반병원,역삼1동,127.0251238,37.50414683
41768,탑페이스성형외과의원,의료,병원,내과/외과,압구정동,127.0287117,37.52402658
41791,온바디한의원,의료,병원,한의원,논현1동,127.0250114,37.50496586
41792,역삼서울이비인후과의원,의료,병원,이비인후과의원,역삼2동,127.0484061,37.49922769
41852,경희자연한의원,의료,병원,한의원,신사동,127.0260624,37.52243693
41862,태양한의원,의료,병원,한의원,일원1동,127.0811732,37.49062969
41912,강남발머스한의원,의료,병원,한의원,역삼1동,127.0328361,37.49898411
41961,씨케이의원,의료,병원,일반병원,청담동,127.0409851,37.52590195
41991,안아픈세상한의원,의료,병원,한의원,청담동,127.0446937,37.51809285
41999,정다운이비인후과의원,의료,병원,내과/외과,역삼1동,127.0482841,37.5052728
42014,나세르의원,의료,병원,일반병원,압구정동,127.0288661,37.52607324
42046,무척시원정형외과의원,의료,병원,내과/외과,논현1동,127.0271845,37.51007473
42050,지의원,의료,병원,내과/외과,논현1동,127.0221194,37.51683585
42170,강남베스트치과,의료,병원,치과의원,수서동,127.1030621,37.48811274
42177,에스얼굴치과,의료,병원,치과의원,압구정동,127.0398308,37.52769468
42224,일중한의원,의료,병원,한의원,도곡1동,127.0357506,37.4851677
42230,미자인2의원,의료,병원,내과/외과,청담동,127.0421755,37.52393831
42283,더힐의원,의료,병원,일반병원,압구정동,127.0394118,37.52507822
42396,이솝한방병원,의료,병원,한방병원,청담동,127.045958,37.5183013
42400,연세기쁨의원,의료,병원,일반병원,세곡동,127.1046737,37.47530284
42415,스마일의원,의료,병원,일반병원,청담동,127.0424021,37.51771387
42453,미앤미의원,의료,병원,일반병원,역삼1동,127.0278175,37.49877171
42483,아침나라한의원,의료,병원,한의원,청담동,127.0441485,37.52535993
42522,화인마취통증의학과의원강남점,의료,병원,일반병원,삼성2동,127.0498881,37.50543889
42531,연세에이플란트치과의원,의료,병원,치과의원,역삼1동,127.0254388,37.50341056
42561,서울내미지한의원,의료,병원,한의원,압구정동,127.0305407,37.52081584
42598,대한치과보철학회,의료,병원,치과의원,역삼1동,127.0307215,37.50071482
